CNPJ,Razao Social,Porte,Total_Pago,Ticket_Medio_Cliente,Qtd_Propostas,Produtos_Adquiridos,Mensalidade_Estimada_Base
42150391000170,Braskem S.A,3. Pequeno,5183732.54,246844.40666666668,21,"Sesi Cambona - Contrato De Mao De Obra (gestao De Terceiros) - Braskem, Sesi Cambona - Contrato De Mao De Obra (gestao De Treinamentos) - Braskem, Educacao Corporativa - Bm De Julho (treinamentos Braskem), Educacao Corporativa - Bm De Fevereiro (treinamentos Braskem), Educacao Corporativa - Bm De Abril (treinamentos Braskem), Educacao Corporativa - Bm De Maio (treinamentos Braskem), Educacao Corporativa - Braskem, TREINAMENTOS | PARADA PVC, TREINAMENTO NR35 | CONTRATO 4800013864, MÃO DE OBRA ESPECIALIZADA - PSICÓLOGA, MÃO DE OBRA ESPECIALIZADA - TÉCNICO DE ENFERMAGEM DO TRABALHO, GESTÃO DE TREINAMENTOS, AÇÃO EDUCATIVA TEATRAL CUSTOMIZADA - ERGONOMIA, MÃO DE OBRA ESPECIALIZADA - FISIOTERAPEUTA 10H, SIPAT 2022, MÃE DE OBRA ESPECIALIZADA - PSICÓLOGA 20H, MÃO DE OBRA ESPECIALIZADA - FONOAUDIÓLOGA 10H, MÃO DE OBRA ESPECIALIZADA - FONOAUDIÓLOGA 20H, GESTÃO EM MEDICINA OCUPACIONAL, MÃO DE OBRA ESPECIALIZADA, RENOVAÇÃO DO CONTRATO DE GESTÃO MÉDICA N° 4600019267",61711.10166666667
12517413000127,Servico De Apoio As M E P Empresas De Alagoas-Sebrae-Al,3. Pequeno,476825.36999999994,28048.551176470584,17,"Saude E Seguranca - Sebrae (renovacao Do Contrato 2026), Educacao Corporativa - Sebrae (hora Tecnica Para Acompanhamento Em Simulado De Evacuacao), Saude E Seguranca - Sebrae (renovacao Do Contrato), EDUCAÇÃO CORPORATIVA -  AÇÃO EDUCATIVA TEATRAL, CONTRATO Nº 109/2019, VISITA TÉCNICA, CAMPANHA NOVEMBRO AZUL, CAMPANHA TEATRAL 2023 - OUTUBRO ROSA, CAMPANHA TEATRAL 2023 - SETEMBRO AMARELO, RENOVAÇÃO DO CONTRATO Nº109/2019, SERVIÇOS EM SST, SERVIÇOS EM SAÚDE E SEGURANÇA",5676.492499999999
30483453000187,Alquimia Industria E Comercio De Capachos Ltda,3. Pequeno,409250.87,51156.35875,8,"Seguranca -  Pae E Aet - Alquimia Kapazi, Seguranca - Higiene Ocupacional - Alquimia Kapazi, Saude E Seguranca - Alquimia Industria E Comercio, Saude E Seguranca - Alquimia (medicoes), CONTRATO DE SAÚDE E SEGURANÇA, EDUCAÇÃO CORPORATIVA (BRIGADA DE INCÊNDIO) - 40H, EDUCAÇÃO CORPORATIVA - NR 13, MÃO DE OBRA ESPECIALIZADA - TECNICO DE SEGURANÇA",4872.034166666666
9066964000107,Alianca Construcoes Ltda,3. Pequeno,391918.9,48989.8625,8,"Sesi Cambona - Mao De Obra - Alianca Construcoes, Sesi Cambona - Bm De Maio De 2026 - Alianca Construcoes, Sesi Cambona - Bm De Abril De 2026 - Alianca Construcoes, Sesi Cambona - Bm De Marco De 2026 - Alianca Construcoes, Sesi Cambona - Bm De Fevereiro De 2026 - Alianca Construcoes, Sesi Cambona - Bm De Janeiro De 2026 - Alianca Construcoes, Saude E Seguranca No Trabalho - Bm Alianca Construcoes (agosto A Novembro 2025), Seguranca  - Alianca Construcoes",4665.701190476191
45456117000112,ÁGUAS DO SERTÃO S.A.,4. Micro,317308.24,26442.353333333333,12,"CONTRATO DE SAÚDE E SEGURANÇA, MEDIÇÕES - DELMIRO GOUVEIA, MEDIÇÕES - PALMEIRA DOS ÍNDIOS, SERVIÇO EM SST, COMBO CAMPANHAS - 2023, SERVIÇOS EM SST - AET, SERVIÇOS EM SST, EDUCAÇÃO CORPORATIVA",3777.4790476190474
3910210000105,Servico Social Da Industria - Sesi,4. Micro,290335.0,96778.33333333333,3,"EDUCAÇÃO CORPORATIVA, CONSULTORIA CUSTOMIZADA EM SEGURANÇA E SAÚDE NO TRABALHO, CONSULTORIA EM SEGURANÇA E SAÚDE NO TRABALHO",3456.3690476190477
29061526000163,Dpmc Comercio De Agua Mineral Ltda,3. Pequeno,180755.36000000002,36151.072,5,"Ufas - Renovacao (combo Sst) - Agua Mineral Refresq, Ufas - Mao De Obra Tecnica (tecnico De Seguranca Do Trabalho) - Agua Mineral Refresq, Sst - Dpmc Comercio De Agua Mineral Ltda, Medicoes - Dpmc Comercio De Agua Mineral Ltda",2151.849523809524
12200226000115,SECRETARIA DE ESTADO DA SEGURANCA PUBLICA,4. Micro,178393.36,44598.34,4,"PROPOSTA COMERCIAL, SERVIÇOS EM SST",2123.730476190476
15401489000180,Agreste Saneamento S.A.,3. Pequeno,160618.13999999996,4589.089714285713,35,"Teatro Corporativo - Agreste Saneamento, TEATRO CORPOTATIVO, TEATRO, EDUCAÇÃO CORPORATIVA, CAMPANHA SETEMBRO AMARELO, CAMPANHA - SETEMBRO AMARELO, CAMPANHA SST, CAMPANHA ABRIL VERDE, SERVIÇOS EM SST, nan, EDUCAÇÃO CORPORATIVA - PRIMEIROS SOCORROS, PALESTRA - SAÚDE MENTAL, TEATRO - ABRIL VERDE, CAMPANHA OUTUBRO ROSA E NOVEMBRO AZUL, ASSISTÊNCIA TÉCNICA, SERVIÇOS TÉCNICOS DE ENFERMAGEM - COVID 19",1912.1207142857138
3692424000152,Servico Nacional De Aprendizagem Comercial - Senac,3. Pequeno,123961.9,24792.379999999997,5,"Sesi Cambona - Renovacao Do Contrato Sesi X Senac Contrato 2024.005.002, Saude E Seguranca - Senac (renovacao Do Ct2024/005/002)",1475.7369047619047
