CNPJ,Razão Social,Nome Fantasia,Categoria,Unidade,Unidade Executora,Proposta,Porte,Condição de Pagamento,Emissão,Status,Valor total,Natureza Produto,Ano
682642000118,Ilumina Instalacoes Ltda,Ilumuna Instalacoes,Indústria,Cambona,Cambona,Sesi Cambona - Seguranca Do Trabalho - Ilumina (obra Edf Studio Iv),3. Pequeno,Boleto - Dia 15,2026-06-30,Aceita,1108.5,Segurança Do Trabalho,2026
5132476000108,Proteica Alimentos Limitada,Proteica,Indústria,Arapiraca,Arapiraca,Mao De Obra Tecnica Especializada - Proteica,3. Pequeno,Boleto - Dia 5,2026-06-30,Aguardando Interno,60765.83999999989,Segurança Do Trabalho,2026
6204078000104,J S Oliveira Tropical Ltda,Biscoito Tropical,Indústria,Arapiraca,Arapiraca,Servico Em Sst  - J S Oliveira Tropical Ltda,3. Pequeno,Boleto - Dia 10,2026-06-30,Em Negociação,2067.1900000000005,Segurança Do Trabalho,2026
13982530000124,Hotel Lua Cheia Ltda,Hotel Lua Cheia,Não Indústria,Cambona,Cambona,Sesi Farol - Renovacao De Combo Sst + Ho - Hotel Lua Cheia,4. Micro,Boleto - Dia 15,2026-06-30,Em Negociação,4207.440000000002,Segurança Do Trabalho,2026
18403814000132,Hotel Refugio Ltda,Hotel Refugio Maceio,Não Indústria,Cambona,Cambona,Sesi Farol - Renovacao De Combo Sst - Hotel Refugio,4. Micro,Boleto - Dia 15,2026-06-30,Em Negociação,4117.680000000009,Segurança Do Trabalho,2026
26155529000178,Superpaver Asfaltos Ltda,Superpaver Asfaltos Ltda,Indústria,Tabuleiro,Tabuleiro,Ufas - Avaliacao Quantitativa De Btxe  - Superpaver Asfaltos Ltda,3. Pequeno,Boleto - Dia 10,2026-06-30,Em Negociação,0.0,Segurança Do Trabalho,2026
3921745000181,Jbr Pneus Comercio E Servicos Ltda,Jbr Pneus,Indústria,Tabuleiro,Tabuleiro,Ufas - Medicoes - Jbr Pneus,3. Pequeno,Boleto - Dia 10,2026-06-29,Em Negociação,5152.950000000001,Segurança Do Trabalho,2026
17597297000117,Metric Usinagem Ltda,Metric Usinagem,Indústria,Tabuleiro,Tabuleiro,Ufas - Ppp- Metric Usinagem,4. Micro,Boleto - Dia 10,2026-06-29,Aceita,180.0,Segurança Do Trabalho,2026
46632939000170,M G Dos Santos Pousada E Restaurante,Pousada E Restaurante Mama Pereira,Não Indústria,Tabuleiro,Tabuleiro,Ufas - Combo Sst (renovacao) - Pousada E Restaurante Mama Pereira,4. Micro,Boleto - Dia 10,2026-06-29,Em Negociação,3015.6000000000026,Segurança Do Trabalho,2026
11918091000165,Condominio Do Edificio San Marino Residence Service,Condominio Do Edificio San Marino Residence Service,Não Indústria,Cambona,Cambona,Sesi Farol - Assistencia Tecnica Pericia Judicial - San Marino Residence Service,3. Pequeno,Boleto - Dia 15,2026-06-26,Em Negociação,2000.0,Segurança Do Trabalho,2026
25079321000154,Sacramento E Almeida Ltda,Castro Bistro-Bar,Não Indústria,Cambona,Cambona,Sesi Farol - Renovacao De Combo Sst + Ho - Castro Bistro,3. Pequeno,Boleto - Dia 15,2026-06-26,Em Negociação,5411.760000000002,Segurança Do Trabalho,2026
35371749000120,Encanto Do Tear Ltda,O Encanto De Tear,Não Indústria,Cambona,Cambona,Sesi Farol - Renovacao De Combo Sst - Encanto De Tear,4. Micro,Boleto - Dia 15,2026-06-26,Em Negociação,2945.520000000007,Segurança Do Trabalho,2026
298863000197,Farmacia De Manip Derm E Cosmetica Ltda,Farmacia De Manip Derm E Cosmetica Ltda,Não Indústria,Cambona,Cambona,Sesi Farol - Renovacao De Combo Sst - Farmaderm Centro,4. Micro,Boleto - Dia 15,2026-06-25,Em Negociação,3372.960000000006,Segurança Do Trabalho,2026
3887992000109,Cam Clinica De Anestesiologia De Maceio Ltda.,Cam,Não Indústria,Cambona,Cambona,"Sesi Farol - Pcmso, Pgr E Pae - Cam Clinica De Anestesiologia De Maceio Ltda",4. Micro,Boleto - Dia 15,2026-06-25,Em Negociação,1920.89,Segurança Do Trabalho,2026
9066964000107,Alianca Construcoes Ltda,Alianca Construcoes Ltda,Indústria,Cambona,Cambona,Sesi Cambona - Mao De Obra - Alianca Construcoes,3. Pequeno,Boleto - Dia 25,2026-06-25,Em Negociação,171584.40000000002,Segurança Do Trabalho,2026
24208048000158,Ferbras Ferragens Brasil Ltda,Ferbras Ferragens Brasil,Não Indústria,Tabuleiro,Tabuleiro,Ufas - Combo Sst (renovacao) - Ferbras Ferragens Brasil,4. Micro,Boleto - Dia 10,2026-06-25,Em Negociação,3014.3999999999996,Segurança Do Trabalho,2026
29061526000163,Dpmc Comercio De Agua Mineral Ltda,Agua Mineral Refresq,Indústria,Tabuleiro,Tabuleiro,Ufas - Renovacao (combo Sst) - Agua Mineral Refresq,3. Pequeno,Boleto - Dia 10,2026-06-25,Em Negociação,7730.399999999999,Segurança Do Trabalho,2026
4735821000127,Amorim Comercio E Servicos Ltda.,Amorim Comercio E Servicos Ltda.,Não Indústria,Cambona,Cambona,Sesi Farol - Seguranca Do Trabalho - Amorim Comercio E Servicos Ltda.,4. Micro,Boleto - Dia 5,2026-06-23,Em Negociação,2945.520000000007,Segurança Do Trabalho,2026
4735910000173,Sociedade Cunha & Madureira Ltda,Farmaderm,Não Indústria,Cambona,Cambona,Sesi Farol - Renovacao De Combo Sst - Farmaderm Cidade Universitaria,4. Micro,Boleto - Dia 15,2026-06-23,Em Negociação,3825.1200000000026,Segurança Do Trabalho,2026
4735910000254,Sociedade Cunha & Madureira Ltda,Farmaderm,Não Indústria,Cambona,Cambona,Sesi Farol - Renovacao De Combo Sst - Farmaderm Jatiuca,4. Micro,Boleto - Dia 15,2026-06-23,Em Negociação,3825.120000000003,Segurança Do Trabalho,2026
7042588000195,Bomfim & Jatoba Advogados Associados,Bj - Advogados Associados,Não Indústria,Cambona,Cambona,"Sesi Farol - Renovacao De Combo Sst - Bomfim, Jatoba, Lins E Lobo Advogados Associados",4. Micro,Boleto - Dia 15,2026-06-23,Aceita,1150.0800000000008,Segurança Do Trabalho,2026
10659395000192,Pre-Moldados Empresarial Alagoas Ltda,Pre-Moldados Alagoas Ltda,Indústria,Tabuleiro,Tabuleiro,Combo Sst (renovacao) - Pre-moldados Empresarial Alagoas Ltda,4. Micro,Boleto - Dia 10,2026-06-23,Aceita,3037.44,Segurança Do Trabalho,2026
11901336000141,W. Pereira De Carvalho,Wr Engenharia & Servicos,Indústria,Cambona,Cambona,Sesi Farol - Pgr E Pcmso - Wr Engenharia & Servicos,4. Micro,Boleto - Dia 15,2026-06-23,Em Negociação,1726.6100000000001,Segurança Do Trabalho,2026
43078549000101,R R Comercio E Auto Servicos Ltda,Efraim Service Car,Indústria,Arapiraca,Arapiraca,Combo Sst - R R Comercio E Auto Servicos Ltda  -  Efraim Service Car,4. Micro,Boleto - Dia 5,2026-06-23,Em Negociação,2325.6000000000013,Segurança Do Trabalho,2026
69973477000150,Ortotrauma Servicos Medicos Ltda,Ortoclinica,Não Indústria,Cambona,Cambona,Sesi Cambona - Renovacao De Combo Sst- Ortoclinica Ortotrauma Servicos Medicos Ltda,3. Pequeno,Boleto - Dia 15,2026-06-23,Em Negociação,7013.280000000005,Segurança Do Trabalho,2026
